Game Date,Split Type,Away Category,Away Team,Away Wins,Away Losses,Away Win %,Away P/L,Home Category,Home Team,Home Wins,Home Losses,Home Win %,Home P/L
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","CHW","2","10","16%","-613","vs Teams That Win <46% of Games","NYM","9","9","50%","-316"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","CHW","4","7","36%","-70","vs Teams Allowing >4.2 Runs","NYM","30","17","63%","+420"
"2025-05-28","REST","3rd game without a day off","CHW","12","27","30%","-784","3rd game without a day off","NYM","24","13","64%","+385"
"2025-05-28","HEAD TO HEAD","vs NYM","CHW","0","1","0%","-100","vs CHW","NYM","1","0","100%","+35"
"2025-05-28","PROJECTED STARTER","when Shane Smith starts","CHW","1","9","10%","-715","when Griffin Canning starts","NYM","8","2","80%","+480"
"2025-05-28","ALL","All Games","ATH","24","30","44%","-597","All Games","HOU","28","25","52%","-65"
"2025-05-28","LOCATION","On Road","ATH","14","12","53%","+225","At Home","HOU","18","10","64%","+478"
"2025-05-28","STATUS","As Underdog or Even","ATH","14","22","38%","-481","As Favorite","HOU","18","16","52%","-290"
"2025-05-28","MONEY LINE","When Line was -105 to +125","ATH","7","7","50%","+86","When Line was -144 to -114","HOU","12","10","54%","-63"
"2025-05-28","LOCATION & STATUS","As Road Underdog","ATH","8","12","40%","-225","As Home Favorite","HOU","13","9","59%","+61"
"2025-05-28","OPP WIN%","vs Teams That Win 46-54% of Games","ATH","4","4","50%","+84","vs Teams That Win <46% of Games","HOU","5","8","38%","-315"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","ATH","10","8","55%","+283","vs Teams Allowing >4.2 Runs","HOU","12","11","52%","-48"
"2025-05-28","REST","2nd game without a day off","ATH","6","1","85%","+507","2nd game without a day off","HOU","3","5","37%","-262"
"2025-05-28","HEAD TO HEAD","vs HOU","ATH","0","0","0%","+0","vs ATH","HOU","0","0","0%","+0"
"2025-05-28","PROJECTED STARTER","when Luis Severino starts","ATH","4","7","36%","-315","when Lance McCullers starts","HOU","2","2","50%","+76"
"2025-05-28","ALL","All Games","PIT","19","36","34%","-1372","All Games","ARI","27","27","50%","-403"
"2025-05-28","LOCATION","On Road","PIT","6","20","23%","-1172","At Home","ARI","14","13","51%","-245"
"2025-05-28","STATUS","As Underdog or Even","PIT","13","25","34%","-710","As Favorite","ARI","19","15","55%","-180"
"2025-05-28","MONEY LINE","When Line was -106 to +124","PIT","5","7","41%","-168","When Line was -144 to -114","ARI","8","10","44%","-320"
